datetime,tempmax,tempmin,windspeed,cloudcover
2022-05-27,20.3,13.1,21.6,46
2022-05-28,17.8,10.1,17.8,33.9
2022-05-29,16.1,8.6,17.8,34.6
2022-05-30,15,6.8,22.3,53.7
2022-05-31,16.1,9.1,15.2,60.2
2022-06-01,18.1,7.8,11.4,54.3
2022-06-02,19.6,9.6,16.7,14.6
2022-06-03,23.3,11.5,20.5,44.9
2022-06-04,20.8,12.8,25,55.4
2022-06-05,15.6,10.7,18.2,95.4
2022-06-06,18,12.1,15.6,81.8
2022-06-07,21.1,10.4,18.5,54.1
2022-06-08,22.1,14.3,33.3,60.2
2022-06-09,20.1,12.1,22.3,53.3
2022-06-10,22.3,15.8,28.8,62.1
2022-06-11,21.8,12.8,27.2,34.3
2022-06-12,22.1,12,24.2,24.6
2022-06-13,20.8,11.5,13.1,27.1
2022-06-14,24.6,11.3,12.8,7
2022-06-15,27.3,12.5,14.5,1.2
2022-06-16,28.8,13.5,18.7,3.2
2022-06-17,31.6,16.8,31.4,9.7
2022-06-18,24.1,13.8,21.5,47.3
2022-06-19,19.1,10.8,21,54.5
2022-06-20,22.3,12.5,19.6,20.5
2022-06-21,25.1,11.1,11.9,0
2022-06-22,26.5,13.1,17.5,0
2022-06-23,25,14.5,17.8,39.8
2022-06-24,21.3,15,24,69.9
2022-06-25,21.1,13.6,28.4,55.4
2022-06-26,21.3,12.6,28.4,21.4
2022-06-27,19.6,12.8,28.8,38.1
2022-06-28,21.5,12.1,26.5,41.7
2022-06-29,20.8,15.6,25.1,69.7
2022-06-30,20.6,12.4,21.9,52.7
2022-07-01,21.1,11.6,25.9,54.8
2022-07-02,22.1,12.8,26.3,53.3
2022-07-03,22.1,12.1,18.8,44.1
2022-07-04,22.6,12.3,19.8,47.9
2022-07-05,22.1,11.8,16.7,36.8
2022-07-06,23.6,14.3,21.8,62.2
2022-07-07,24.1,17.1,20.2,56.4
2022-07-08,28.8,15.3,13.1,5.7
2022-07-09,26.6,17.1,15,22.4
2022-07-10,29.1,15.1,14.1,3.9
2022-07-11,30.8,16.6,17.3,7.2
2022-07-12,30.6,19.5,19.8,26.8
2022-07-13,28.1,19.9,12.7,41.3
2022-07-14,25.3,16.3,19.3,21.9
2022-07-15,25.5,14.6,18.8,9.8
2022-07-16,27.8,15.3,16.6,0.9
2022-07-17,30,16.1,17.2,9.3
2022-07-18,36.6,18,17.2,15.5
2022-07-19,39.8,21.7,26.2,11.6
2022-07-20,26.6,19.1,22.9,75.1
2022-07-21,23.6,17.3,16.1,82.1
2022-07-22,22.3,17.6,17.5,75.4
2022-07-23,27.3,16.1,24.7,46.3
2022-07-24,28.1,17.8,31.1,47.1
2022-07-25,23.8,18.3,25.9,76.4
2022-07-26,22.3,15.8,13.8,78.6
2022-07-27,21.1,15.6,14.5,61.1
2022-07-28,22.6,16.5,17.9,43
2022-07-29,26.3,15.1,13.5,25.5
2022-07-30,26.6,16.6,21.2,50.8
2022-07-31,26.1,19.8,26.6,80.1
2022-08-01,27,17.8,17.7,53.5
2022-08-02,25.6,19.1,23,66.2
2022-08-03,27.3,18.5,23.3,67.2
2022-08-04,24,17.6,15.6,56.3
2022-08-05,23.3,14.8,18.7,31.9
2022-08-06,24.8,12.5,11.3,0
2022-08-07,27.1,12.6,12.4,0.2
2022-08-08,28.1,17,18.7,3.6
2022-08-09,28.1,16.6,18.3,5.4
2022-08-10,29.6,16.6,21.6,4.6
2022-08-11,32.6,16.6,18.9,2.4
2022-08-12,32.8,18.8,19.4,0
2022-08-13,34,19.6,16.1,0
2022-08-14,33,19.3,15,4.1
2022-08-15,29.1,19.1,19,28.3
2022-08-16,22.1,18.1,13.6,59.8
2022-08-17,25.3,17.8,18.4,67.1
2022-08-18,26.5,18.1,19.9,68.3
2022-08-19,24.8,18.1,22.7,55.9
2022-08-20,24.8,13.8,24,25.4
2022-08-21,24.3,15,15.4,32.6
2022-08-22,22.5,14.1,16.4,56.1
2022-08-23,25.5,18.1,20.4,85.4
2022-08-24,28.8,20.1,19.2,60.5
2022-08-25,22.8,16.8,18.1,74.9
2022-08-26,24.8,13.3,8.7,38.7
2022-08-27,24.6,15.3,15,26.6
2022-08-28,24,15,19,23
2022-08-29,21.1,16.1,18.9,66
2022-08-30,23.8,14.8,20.1,50.4
2022-08-31,23.1,14.8,24,33
2022-09-01,23.1,14.8,20.5,55.9
2022-09-02,25,16.5,11.3,62.3
2022-09-03,24.1,15.8,19.8,49
2022-09-04,24.1,17,19.4,53.3
2022-09-05,22.8,16.1,21.8,47.6
2022-09-06,22.6,16,22.3,62.1
2022-09-07,21.1,15.3,21.8,56.5
2022-09-08,19.1,14.1,20.5,72.2
2022-09-09,20.1,14.8,21.8,80.2
2022-09-10,20.8,13.5,11.9,50.2
2022-09-11,23.1,14.3,17.8,40.8
2022-09-12,26.6,15.6,15.2,53
2022-09-13,20,16,15,73.2
2022-09-14,21.6,14.6,13.9,55
2022-09-15,19.8,13.6,15.6,79.6
2022-09-16,17.8,11.6,21.3,39.1
2022-09-17,17.8,7.6,20.6,4
2022-09-18,17.8,9.3,20.3,59.2
2022-09-19,18.1,12.6,9.4,72.5
2022-09-20,19.5,9.6,10.6,43.8
2022-09-21,20.3,14.1,12.5,58.4
2022-09-22,19.8,11,17.8,36.6
